[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 235] d0=4089741 pm=2206 slots=880000 (2784s)
[cap 236] d0=4083475 pm=2031 slots=880000 (2794s)
[cap 237] d0=4100543 pm=2049 slots=880000 (2804s)
[cap 238] d0=4115396 pm=2036 slots=880000 (2815s)
[cap 239] d0=4082660 pm=2075 slots=880000 (2825s)
[cap 240] d0=4114737 pm=1859 slots=880000 (2835s)
[cap 241] d0=4124468 pm=2090 slots=880000 (2845s)
[cap 242] d0=4085061 pm=1949 slots=880000 (2856s)
[cap 243] d0=4108972 pm=1952 slots=880000 (2866s)
[cap 244] d0=4122591 pm=2007 slots=880000 (2876s)
[cap 245] d0=4122901 pm=2199 slots=880000 (2886s)
[cap 246] d0=4133753 pm=1842 slots=880000 (2897s)
[cap 247] d0=4100868 pm=2110 slots=880000 (2907s)
[cap 248] d0=4109096 pm=2181 slots=880000 (2917s)
[cap 249] d0=4110386 pm=1973 slots=880000 (2927s)
[cap 250] d0=4110550 pm=2132 slots=880000 (2938s)
[cap 251] d0=4132747 pm=2271 slots=880000 (2948s)
[cap 252] d0=6745827 pm=2520 slots=160000 (2958s)
[cap 253] d0=4114425 pm=3124 slots=880000 (3006s)
[cap 254] d0=4082763 pm=2475 slots=880000 (3016s)
[cap 255] d0=3619595 pm=3107 slots=288000 (3033s)
[cap 256] d0=841320 pm=2064 slots=55040 (3039s)
[run clean] 30/300: running acc 3.33 (3039s)
[cap 257] d0=4106347 pm=2261 slots=879975 (3087s)
[cap 258] d0=4085593 pm=1805 slots=879975 (3097s)
[cap 259] d0=4110081 pm=1582 slots=879975 (3107s)
[cap 260] d0=4102887 pm=1567 slots=879975 (3117s)
[cap 261] d0=4097792 pm=1474 slots=879975 (3128s)
[cap 262] d0=4124475 pm=1498 slots=879975 (3138s)
[cap 263] d0=4109006 pm=1544 slots=879975 (3148s)
[cap 264] d0=4116616 pm=1717 slots=879975 (3158s)
[cap 265] d0=4094745 pm=1546 slots=879975 (3168s)
[cap 266] d0=4090878 pm=1486 slots=879975 (3179s)
[cap 267] d0=4083466 pm=1476 slots=879975 (3189s)
[cap 268] d0=4083688 pm=1686 slots=879975 (3199s)
[cap 269] d0=4095411 pm=2766 slots=879975 (3209s)
[cap 270] d0=4104067 pm=1869 slots=879975 (3220s)
[cap 271] d0=4081262 pm=1650 slots=879975 (3230s)
[cap 272] d0=4104925 pm=4824 slots=879975 (3240s)
[cap 273] d0=4108735 pm=3070 slots=879975 (3250s)
[cap 274] d0=4086449 pm=2671 slots=879975 (3260s)
[cap 275] d0=4115054 pm=1853 slots=879975 (3271s)
[cap 276] d0=4087255 pm=1975 slots=879975 (3281s)
[cap 277] d0=4084658 pm=3100 slots=879975 (3291s)
[cap 278] d0=5170359 pm=2412 slots=336525 (3320s)
[cap 279] d0=4071288 pm=2599 slots=880000 (3368s)
[cap 280] d0=4104677 pm=1998 slots=880000 (3379s)
[cap 281] d0=4107313 pm=1891 slots=880000 (3389s)
[cap 282] d0=4131709 pm=2031 slots=880000 (3399s)
[cap 283] d0=4116219 pm=1938 slots=880000 (3409s)
[cap 284] d0=4134853 pm=2000 slots=880000 (3420s)
[cap 285] d0=4106122 pm=2183 slots=880000 (3430s)
[cap 286] d0=4095979 pm=1919 slots=880000 (3440s)
[cap 287] d0=4083146 pm=2207 slots=880000 (3450s)
[cap 288] d0=4105597 pm=2308 slots=880000 (3460s)
[cap 289] d0=4115042 pm=2007 slots=880000 (3471s)
[cap 290] d0=4086324 pm=1981 slots=880000 (3481s)
[cap 291] d0=4093172 pm=2066 slots=880000 (3491s)
[cap 292] d0=4085009 pm=2065 slots=880000 (3501s)
[cap 293] d0=4102770 pm=2012 slots=880000 (3512s)
[cap 294] d0=4099283 pm=2131 slots=880000 (3522s)
[cap 295] d0=4116978 pm=2143 slots=880000 (3532s)
[cap 296] d0=4090295 pm=2142 slots=880000 (3542s)
[cap 297] d0=4104687 pm=2098 slots=880000 (3553s)
[cap 298] d0=4097469 pm=2005 slots=880000 (3563s)
[cap 299] d0=4089986 pm=1895 slots=880000 (3573s)
[cap 300] d0=4100619 pm=2049 slots=880000 (3583s)
[cap 301] d0=4128220 pm=2083 slots=880000 (3594s)
[cap 302] d0=4094315 pm=1952 slots=880000 (3604s)
[cap 303] d0=4082315 pm=2252 slots=880000 (3614s)
[cap 304] d0=4080155 pm=2318 slots=880000 (3624s)
[cap 305] d0=4103126 pm=2125 slots=880000 (3634s)
[cap 306] d0=4094597 pm=2000 slots=880000 (3645s)
[cap 307] d0=4084728 pm=2034 slots=880000 (3655s)
[cap 308] d0=4132670 pm=2817 slots=880000 (3665s)
[cap 309] d0=4086904 pm=2640 slots=880000 (3675s)
[cap 310] d0=4095113 pm=2514 slots=880000 (3686s)
[cap 311] d0=4084303 pm=2401 slots=880000 (3696s)
[cap 312] d0=4120089 pm=2695 slots=880000 (3706s)
[cap 313] d0=4137901 pm=2091 slots=880000 (3716s)
[cap 314] d0=4107630 pm=2100 slots=880000 (3726s)
[cap 315] d0=4101663 pm=1894 slots=880000 (3737s)
[cap 316] d0=4093474 pm=2051 slots=880000 (3747s)
[cap 317] d0=4131388 pm=1900 slots=880000 (3757s)
[cap 318] d0=4105328 pm=1865 slots=880000 (3767s)
[cap 319] d0=4093945 pm=2229 slots=880000 (3778s)
[cap 320] d0=4129751 pm=2264 slots=880000 (3788s)
[cap 321] d0=4102312 pm=1999 slots=880000 (3798s)
[cap 322] d0=4092892 pm=2156 slots=880000 (3808s)
[cap 323] d0=4117658 pm=2393 slots=880000 (3818s)
[cap 324] d0=4114237 pm=2331 slots=880000 (3829s)
[cap 325] d0=4091849 pm=2259 slots=880000 (3839s)
[cap 326] d0=4095451 pm=2230 slots=880000 (3849s)
[cap 327] d0=4129496 pm=2292 slots=880000 (3859s)
[cap 328] d0=4102990 pm=2089 slots=880000 (3869s)
Ousrp_source :error: In the last 3863965 ms, 1 overflows occurred.
[cap 329] d0=4089630 pm=1896 slots=880000 (3880s)
[cap 330] d0=4102646 pm=2112 slots=880000 (3890s)
[cap 331] d0=4092831 pm=1954 slots=880000 (3900s)
[cap 332] d0=4100429 pm=2198 slots=880000 (3910s)
[cap 333] d0=4130472 pm=2021 slots=880000 (3920s)
[cap 334] d0=4106771 pm=1933 slots=880000 (3931s)
[cap 335] d0=4115354 pm=2215 slots=880000 (3941s)
[cap 336] d0=4099347 pm=2209 slots=880000 (3951s)
[cap 337] d0=6756890 pm=2525 slots=160000 (3961s)
[cap 338] d0=4105149 pm=3096 slots=880000 (4010s)
[cap 339] d0=4093108 pm=2514 slots=880000 (4020s)
[cap 340] d0=3609046 pm=3091 slots=288000 (4036s)
[cap 341] d0=830277 pm=2055 slots=55040 (4042s)
[run clean] 40/300: running acc 5.00 (4042s)
[cap 342] d0=4117326 pm=2147 slots=879975 (4090s)
[cap 343] d0=4105871 pm=1711 slots=879975 (4101s)
[cap 344] d0=4082710 pm=1562 slots=879975 (4111s)
[cap 345] d0=4103179 pm=1833 slots=879975 (4121s)
[cap 346] d0=4105555 pm=1585 slots=879975 (4131s)
[cap 347] d0=4108247 pm=1569 slots=879975 (4141s)
[cap 348] d0=4134134 pm=1391 slots=879975 (4152s)
[cap 349] d0=4101627 pm=1492 slots=879975 (4162s)
[cap 350] d0=4095471 pm=1731 slots=879975 (4172s)
[cap 351] d0=4123560 pm=2267 slots=879975 (4182s)
[cap 352] d0=4113077 pm=2454 slots=879975 (4192s)
[cap 353] d0=4103932 pm=1888 slots=879975 (4203s)
[cap 354] d0=4100698 pm=1428 slots=879975 (4213s)
[cap 355] d0=4109737 pm=1566 slots=879975 (4223s)
[cap 356] d0=4119405 pm=1559 slots=879975 (4233s)
[cap 357] d0=4103531 pm=1827 slots=879975 (4243s)
[cap 358] d0=4101243 pm=3471 slots=879975 (4254s)
[cap 359] d0=4091883 pm=3347 slots=879975 (4264s)
[cap 360] d0=4122153 pm=1948 slots=879975 (4274s)
[cap 361] d0=4100586 pm=2141 slots=879975 (4284s)
[cap 362] d0=4111549 pm=3835 slots=879975 (4294s)
[cap 363] d0=5175538 pm=2552 slots=336525 (4323s)
[cap 364] d0=4125930 pm=2577 slots=880000 (4372s)
[cap 365] d0=4108734 pm=2062 slots=880000 (4383s)
[cap 366] d0=4106784 pm=1941 slots=880000 (4393s)
[cap 367] d0=4101106 pm=2083 slots=880000 (4403s)
[cap 368] d0=4096119 pm=1907 slots=880000 (4413s)
[cap 369] d0=4118448 pm=2110 slots=880000 (4423s)
[cap 370] d0=4111165 pm=2121 slots=880000 (4433s)
[cap 371] d0=4133470 pm=2022 slots=880000 (4444s)
[cap 372] d0=4127895 pm=2242 slots=880000 (4454s)
[cap 373] d0=4129079 pm=2270 slots=880000 (4464s)
[cap 374] d0=4081616 pm=2037 slots=880000 (4474s)
[cap 375] d0=4106656 pm=2022 slots=880000 (4485s)
[cap 376] d0=4114205 pm=1965 slots=880000 (4495s)
