[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 304] d0=4103049 pm=2216 slots=880000 (3584s)
[cap 305] d0=4121903 pm=2061 slots=880000 (3595s)
[cap 306] d0=4098202 pm=2035 slots=880000 (3605s)
[cap 307] d0=4127822 pm=1903 slots=880000 (3615s)
[cap 308] d0=4108953 pm=1963 slots=880000 (3625s)
[cap 309] d0=4110622 pm=2052 slots=880000 (3636s)
[cap 310] d0=4120635 pm=2105 slots=880000 (3646s)
[cap 311] d0=4091528 pm=2038 slots=880000 (3656s)
[cap 312] d0=4081137 pm=2027 slots=880000 (3666s)
[cap 313] d0=4094244 pm=1854 slots=880000 (3676s)
[cap 314] d0=4093002 pm=2062 slots=880000 (3687s)
[cap 315] d0=4136649 pm=2100 slots=880000 (3697s)
[cap 316] d0=4091531 pm=2207 slots=880000 (3707s)
[cap 317] d0=4091927 pm=2234 slots=880000 (3717s)
[cap 318] d0=4107903 pm=1927 slots=880000 (3728s)
[cap 319] d0=4085874 pm=2084 slots=880000 (3738s)
[cap 320] d0=4122131 pm=2249 slots=880000 (3748s)
[cap 321] d0=4102693 pm=1994 slots=880000 (3759s)
[cap 322] d0=4088174 pm=2036 slots=880000 (3769s)
[cap 323] d0=4090076 pm=2140 slots=880000 (3779s)
[cap 324] d0=4114494 pm=2117 slots=880000 (3790s)
[cap 325] d0=4086447 pm=2070 slots=880000 (3800s)
[cap 326] d0=4101539 pm=2125 slots=880000 (3810s)
[cap 327] d0=4137150 pm=2160 slots=880000 (3821s)
[cap 328] d0=4136639 pm=2003 slots=880000 (3831s)
[cap 329] d0=4085335 pm=1989 slots=880000 (3841s)
[cap 330] d0=4080419 pm=2087 slots=880000 (3852s)
[cap 331] d0=4106534 pm=2158 slots=880000 (3862s)
[cap 332] d0=4090181 pm=2342 slots=880000 (3872s)
[cap 333] d0=4124640 pm=2085 slots=880000 (3883s)
[cap 334] d0=4135206 pm=2012 slots=880000 (3893s)
[cap 335] d0=4079572 pm=2322 slots=880000 (3903s)
[cap 336] d0=4104636 pm=2301 slots=880000 (3913s)
[cap 337] d0=6737776 pm=2588 slots=160000 (3924s)
[cap 338] d0=4121486 pm=3068 slots=880000 (3972s)
[cap 339] d0=4088657 pm=2467 slots=880000 (3983s)
[cap 340] d0=3657291 pm=2985 slots=288000 (3999s)
[cap 341] d0=857284 pm=2036 slots=55040 (4005s)
[run clean] 30/150: running acc 10.00 (4005s)
[cap 342] d0=4093478 pm=2502 slots=879975 (4053s)
[cap 343] d0=4093498 pm=2302 slots=879975 (4063s)
[cap 344] d0=4110562 pm=1802 slots=879975 (4073s)
[cap 345] d0=4092769 pm=1494 slots=879975 (4084s)
[cap 346] d0=4096235 pm=1747 slots=879975 (4094s)
[cap 347] d0=4123886 pm=1595 slots=879975 (4104s)
[cap 348] d0=4094572 pm=1734 slots=879975 (4114s)
[cap 349] d0=4081553 pm=1764 slots=879975 (4124s)
[cap 350] d0=4130193 pm=2564 slots=879975 (4135s)
