[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [RFNOC::GRAPH] One or more blocks timed out during flush!
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
D[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 222] d0=4130538 pm=1664 slots=880000 (3044s)
[cap 223] d0=4118096 pm=1677 slots=880000 (3054s)
[cap 224] d0=4103205 pm=2527 slots=880000 (3065s)
[cap 225] d0=4108810 pm=2426 slots=880000 (3075s)
[cap 226] d0=4117550 pm=2422 slots=880000 (3085s)
[cap 227] d0=4130186 pm=2417 slots=880000 (3095s)
[cap 228] d0=4122058 pm=1915 slots=880000 (3106s)
[cap 229] d0=4098880 pm=1843 slots=880000 (3116s)
[cap 230] d0=4117794 pm=1860 slots=880000 (3126s)
[cap 231] d0=4105589 pm=1756 slots=880000 (3136s)
[cap 232] d0=4090346 pm=1868 slots=880000 (3146s)
[cap 233] d0=4098658 pm=1765 slots=880000 (3157s)
[cap 234] d0=4129809 pm=1980 slots=880000 (3167s)
[cap 235] d0=4099101 pm=2102 slots=880000 (3177s)
[cap 236] d0=4091372 pm=2289 slots=880000 (3187s)
[cap 237] d0=4080151 pm=2180 slots=880000 (3198s)
[cap 238] d0=4092514 pm=2364 slots=880000 (3208s)
[cap 239] d0=4089665 pm=2398 slots=880000 (3218s)
[cap 240] d0=4118110 pm=2031 slots=880000 (3228s)
[cap 241] d0=4128031 pm=2062 slots=880000 (3238s)
[cap 242] d0=4101906 pm=2390 slots=880000 (3248s)
[cap 243] d0=4093902 pm=2047 slots=880000 (3259s)
[cap 244] d0=4122095 pm=1875 slots=880000 (3269s)
[cap 245] d0=4110233 pm=1930 slots=880000 (3279s)
[cap 246] d0=4110683 pm=2003 slots=880000 (3289s)
[cap 247] d0=4085066 pm=1879 slots=880000 (3300s)
