# energy per real MAC (J/MAC); see METHODS.md
N,e_ip_total,e1_waveform,e2_adc,e3_digital
343.36,1.072778e-14,5.343886e-16,4.368597e-15,5.824796e-15
348.041,1.059067e-14,5.343886e-16,4.309836e-15,5.746448e-15
352.786,1.045541e-14,5.343886e-16,4.251865e-15,5.669153e-15
357.596,1.032196e-14,5.343886e-16,4.194674e-15,5.592898e-15
362.472,1.019031e-14,5.343886e-16,4.138252e-15,5.517669e-15
367.414,1.006043e-14,5.343886e-16,4.082589e-15,5.443452e-15
372.423,9.932297e-15,5.343886e-16,4.027675e-15,5.370233e-15
377.501,9.805887e-15,5.343886e-16,3.973499e-15,5.297999e-15
382.648,9.681177e-15,5.343886e-16,3.920052e-15,5.226736e-15
387.865,9.558145e-15,5.343886e-16,3.867324e-15,5.156433e-15
393.153,9.436768e-15,5.343886e-16,3.815306e-15,5.087074e-15
398.514,9.317024e-15,5.343886e-16,3.763987e-15,5.018649e-15
403.947,9.198890e-15,5.343886e-16,3.713358e-15,4.951144e-15
409.455,9.082345e-15,5.343886e-16,3.663410e-15,4.884547e-15
415.037,8.967368e-15,5.343886e-16,3.614134e-15,4.818846e-15
420.696,8.853938e-15,5.343886e-16,3.565521e-15,4.754028e-15
426.432,8.742033e-15,5.343886e-16,3.517562e-15,4.690082e-15
432.246,8.631633e-15,5.343886e-16,3.470248e-15,4.626997e-15
438.139,8.522718e-15,5.343886e-16,3.423570e-15,4.564760e-15
444.113,8.415269e-15,5.343886e-16,3.377520e-15,4.503360e-15
450.168,8.309264e-15,5.343886e-16,3.332090e-15,4.442786e-15
456.306,8.204686e-15,5.343886e-16,3.287270e-15,4.383027e-15
462.527,8.101514e-15,5.343886e-16,3.243054e-15,4.324072e-15
468.833,7.999730e-15,5.343886e-16,3.199432e-15,4.265909e-15
475.225,7.899315e-15,5.343886e-16,3.156397e-15,4.208529e-15
481.705,7.800250e-15,5.343886e-16,3.113941e-15,4.151921e-15
488.272,7.702518e-15,5.343886e-16,3.072056e-15,4.096074e-15
494.93,7.606101e-15,5.343886e-16,3.030734e-15,4.040978e-15
501.678,7.510981e-15,5.343886e-16,2.989968e-15,3.986624e-15
508.518,7.417140e-15,5.343886e-16,2.949750e-15,3.933001e-15
515.451,7.324561e-15,5.343886e-16,2.910074e-15,3.880098e-15
522.479,7.233227e-15,5.343886e-16,2.870931e-15,3.827908e-15
529.602,7.143122e-15,5.343886e-16,2.832314e-15,3.776419e-15
536.823,7.054229e-15,5.343886e-16,2.794217e-15,3.725623e-15
